algorithm;dataset;privacyModel;k;qids;weighted;iterations;eliteFraction;crossoverFraction;productionFraction;mutationProbability;immigrationFraction;immigrationInterval;subpopulationSize;trianglePattern;dualPopulation;timeLimit;stepLimit;limitByOptimalLoss;batchNumber;time;externalUtility;internalUtility;tuningParameter;gaImplementation
BEST_EFFORT_GENETIC;IHIS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;100;false;true;300000;2147483647;true;5;15923;0.820966056;0;gaImplementation;1
BEST_EFFORT_GENETIC;ADULT;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;200;false;false;300000;2147483647;true;1;209;0.729621238;0;gaImplementation;2
BEST_EFFORT_GENETIC;ATUS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;200;false;false;300000;2147483647;true;1;5892;0.900049031;0;gaImplementation;2
BEST_EFFORT_GENETIC;IHIS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;200;false;false;300000;2147483647;true;1;11930;0.820966056;0;gaImplementation;2
BEST_EFFORT_GENETIC;ADULT;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;200;false;false;300000;2147483647;true;2;442;0.729621238;0;gaImplementation;2
BEST_EFFORT_GENETIC;ATUS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;200;false;false;300000;2147483647;true;2;8419;0.900049031;0;gaImplementation;2
BEST_EFFORT_GENETIC;IHIS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;200;false;false;300000;2147483647;true;2;19148;0.820966056;0;gaImplementation;2
BEST_EFFORT_GENETIC;ADULT;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;200;false;false;300000;2147483647;true;3;272;0.729621238;0;gaImplementation;2
BEST_EFFORT_GENETIC;ATUS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;200;false;false;300000;2147483647;true;3;5396;0.900049031;0;gaImplementation;2
BEST_EFFORT_GENETIC;IHIS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;200;false;false;300000;2147483647;true;3;15819;0.820966056;0;gaImplementation;2
BEST_EFFORT_GENETIC;ADULT;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;200;false;false;300000;2147483647;true;4;343;0.729621238;0;gaImplementation;2
BEST_EFFORT_GENETIC;ATUS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;200;false;false;300000;2147483647;true;4;7776;0.900049031;0;gaImplementation;2
BEST_EFFORT_GENETIC;IHIS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;200;false;false;300000;2147483647;true;4;20917;0.820966056;0;gaImplementation;2
BEST_EFFORT_GENETIC;ADULT;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;200;false;false;300000;2147483647;true;5;418;0.729621238;0;gaImplementation;2
BEST_EFFORT_GENETIC;ATUS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;200;false;false;300000;2147483647;true;5;6332;0.900049031;0;gaImplementation;2
BEST_EFFORT_GENETIC;IHIS;K_ANONYMITY;5;0;false;2147483647;0.2;0.4;0.8;0.05;0.2;10;200;false;false;300000;2147483647;true;5;17989;0.820966056;0;gaImplementation;2
