age;familysize;gender;married;race;religion;Q1A;Q2A;Q3A;Q4A;Q5A;Q6A;Q7A;Q8A;Q9A;Q10A
26;0;0;0;0;2;0;0;0;1;3;1;0;0;1;4
22;0;0;0;1;1;0;0;0;1;3;1;0;0;1;1
13;2;0;0;2;1;1;1;1;1;3;1;1;1;3;3
20;0;0;0;0;2;1;1;1;1;3;1;1;1;2;2
15;1;0;0;0;3;1;1;1;1;3;1;0;1;2;4
2;1;0;0;1;0;0;0;1;1;4;1;0;3;1;1
4;2;0;0;0;0;0;2;1;1;0;1;0;1;1;4
11;1;0;0;1;0;1;3;1;1;4;1;1;0;3;2
1;1;0;0;0;2;1;3;1;1;4;1;0;1;2;2
12;2;0;0;5;1;1;3;0;1;2;1;1;0;0;4
8;2;0;0;2;3;1;3;1;1;3;1;0;1;1;2
3;2;0;0;2;0;1;3;0;1;4;1;0;4;1;1
3;2;0;0;2;0;1;4;0;1;4;1;0;4;0;2
13;1;0;0;2;1;0;4;0;1;1;1;1;3;3;2
2;0;0;0;1;0;1;3;0;1;2;1;1;2;1;0
4;1;0;0;2;1;1;3;1;1;2;1;1;2;3;1
2;2;0;0;0;1;1;3;1;1;2;1;0;3;4;4
12;2;0;0;0;0;1;4;0;1;2;1;0;2;4;4
15;0;0;0;2;0;1;4;1;1;2;1;0;3;3;1
2;3;0;0;4;1;0;0;2;1;0;1;1;0;2;1
10;2;0;0;0;1;0;3;2;1;4;1;0;1;3;3
10;3;0;0;4;3;1;3;2;1;1;1;0;1;1;3
3;2;0;0;0;0;1;4;2;1;3;1;0;3;1;4
11;3;0;0;0;0;1;4;2;1;3;1;1;2;1;4
12;2;0;0;0;3;1;4;2;1;2;1;0;2;2;1
26;2;0;0;0;0;1;2;2;1;3;1;0;4;1;2
7;2;0;0;2;0;1;2;2;1;1;1;1;0;1;4
14;2;0;0;0;1;1;1;3;1;3;1;1;1;3;2
11;2;0;0;0;1;0;0;3;1;3;1;1;3;1;0
26;0;0;0;2;1;1;1;3;1;3;1;0;2;3;4
4;0;0;0;0;0;1;2;3;1;3;1;1;3;1;2
2;0;0;0;0;1;1;3;4;1;4;1;0;1;1;3
3;2;0;0;2;1;1;3;3;1;1;1;1;0;1;2
18;2;0;0;2;1;1;3;3;1;1;1;1;3;3;2
3;1;0;0;2;1;1;1;1;2;0;0;0;0;2;3
15;2;0;0;0;2;0;0;0;2;1;0;0;0;2;3
1;0;0;0;1;0;1;0;0;2;1;0;0;0;3;1
27;0;0;0;2;0;1;1;0;2;3;0;0;0;2;4
6;0;0;0;1;0;1;1;0;2;2;0;1;1;4;0
15;2;0;0;0;1;1;1;0;2;2;0;1;1;4;1
8;2;0;0;1;0;1;1;1;2;3;0;0;1;2;4
0;2;0;0;0;0;1;1;1;2;3;0;1;1;3;1
12;1;0;0;0;1;1;1;1;2;3;0;1;1;4;2
6;0;0;0;2;1;1;1;0;2;1;0;0;2;3;3
11;2;0;0;0;1;1;0;0;2;3;0;0;2;3;3
7;0;0;0;5;0;1;3;0;2;0;0;0;1;0;4
1;2;0;0;2;1;1;4;0;2;3;0;0;1;1;2
12;3;0;0;2;1;1;3;1;2;4;0;0;4;4;4
4;2;0;0;0;1;0;4;0;2;2;0;0;4;1;0
3;2;0;0;2;0;0;4;1;2;0;0;0;2;1;3
8;2;0;0;5;1;1;4;1;2;4;0;0;2;0;0
3;2;0;0;0;0;0;4;1;2;1;0;0;3;4;1
3;2;0;0;0;0;1;3;1;2;1;0;0;2;2;2
28;2;0;0;2;0;1;2;1;2;1;0;0;2;2;3
1;1;0;0;1;0;0;0;2;2;3;0;0;2;2;3
3;2;0;0;0;0;1;3;2;2;1;0;0;0;2;0
10;2;0;0;0;0;1;4;2;2;3;0;0;1;3;4
29;2;0;0;2;1;0;0;4;2;2;0;0;0;1;1
30;2;0;0;4;0;0;1;3;2;4;0;1;4;3;3
3;0;0;0;1;1;1;1;3;2;0;0;0;3;1;0
9;0;0;0;0;1;0;4;3;2;2;0;0;0;2;0
16;1;0;0;0;1;1;4;4;2;0;0;0;2;4;4
31;2;0;0;2;0;0;0;0;2;4;1;0;0;2;1
8;2;0;0;2;0;1;1;1;2;4;1;0;1;1;2
12;0;0;0;2;0;0;1;1;2;1;1;0;0;2;2
4;1;0;0;0;3;1;1;1;2;3;1;1;1;3;4
7;0;0;0;1;0;1;1;0;2;2;1;1;4;4;1
12;0;0;0;4;0;1;0;0;2;4;1;0;3;4;4
1;2;0;0;0;0;1;1;0;2;4;1;0;3;1;4
10;0;0;0;0;0;1;1;1;2;1;1;0;3;1;2
7;1;0;0;2;0;1;2;1;2;4;1;1;1;1;2
10;2;0;0;2;0;1;4;1;2;3;1;0;1;1;2
11;1;0;0;0;2;0;4;1;2;4;1;0;3;3;2
11;1;0;0;0;0;1;3;0;2;4;1;0;3;2;3
8;3;0;0;2;0;1;3;1;2;1;1;0;3;2;4
12;2;0;0;0;1;0;3;1;2;3;1;1;3;1;4
