algorithm;dataset;k;qids;iterations;eliteFraction;crossoverFraction;mutationProbability;timeLimit;stepLimit;limitByOptimalLoss;batchNumber;time;externalUtility;internalUtility
BEST_EFFORT_GENETIC;FARS;5;0;2147483647;0.2;0.4;0.05;300000;2147483647;true;4;6960;0.9561654045160981;0
BEST_EFFORT_GENETIC;FARS;5;0;2147483647;0.2;0.4;0.05;300000;2147483647;true;5;5409;0.9561654045160981;0
BEST_EFFORT_GENETIC;ATUS;5;0;2147483647;0.2;0.4;0.05;300000;2147483647;true;1;12941;0.9966401817396517;0
BEST_EFFORT_GENETIC;ATUS;5;0;2147483647;0.2;0.4;0.05;300000;2147483647;true;2;9134;0.9966401817396517;0
BEST_EFFORT_GENETIC;ATUS;5;0;2147483647;0.2;0.4;0.05;300000;2147483647;true;3;9671;0.9966401817396517;0
BEST_EFFORT_GENETIC;ATUS;5;0;2147483647;0.2;0.4;0.05;300000;2147483647;true;4;10272;0.9966401817396517;0
BEST_EFFORT_GENETIC;ATUS;5;0;2147483647;0.2;0.4;0.05;300000;2147483647;true;5;10721;0.9966401817396517;0
BEST_EFFORT_GENETIC;IHIS;5;0;2147483647;0.2;0.4;0.05;300000;2147483647;true;1;34538;0.9851196147282808;0
BEST_EFFORT_GENETIC;IHIS;5;0;2147483647;0.2;0.4;0.05;300000;2147483647;true;2;51235;0.9851196147282808;0
BEST_EFFORT_GENETIC;IHIS;5;0;2147483647;0.2;0.4;0.05;300000;2147483647;true;3;25675;0.9851196147282808;0
BEST_EFFORT_GENETIC;IHIS;5;0;2147483647;0.2;0.4;0.05;300000;2147483647;true;4;28242;0.9851196147282808;0
BEST_EFFORT_GENETIC;IHIS;5;0;2147483647;0.2;0.4;0.05;300000;2147483647;true;5;40581;0.9851196147282808;0
BEST_EFFORT_TOP_DOWN;ADULT;5;0;2147483647;0.2;0.4;0.05;600000;2147483647;true;1;190;0.9779748248085216;0
BEST_EFFORT_TOP_DOWN;ADULT;5;0;2147483647;0.2;0.4;0.05;600000;2147483647;true;2;183;0.9779748248085216;0
BEST_EFFORT_TOP_DOWN;ADULT;5;0;2147483647;0.2;0.4;0.05;600000;2147483647;true;3;183;0.9779748248085216;0
BEST_EFFORT_TOP_DOWN;ADULT;5;0;2147483647;0.2;0.4;0.05;600000;2147483647;true;4;182;0.9779748248085216;0
BEST_EFFORT_TOP_DOWN;ADULT;5;0;2147483647;0.2;0.4;0.05;600000;2147483647;true;5;184;0.9779748248085216;0
BEST_EFFORT_TOP_DOWN;CUP;5;0;2147483647;0.2;0.4;0.05;600000;2147483647;true;1;1271;0.9704776960491376;0
BEST_EFFORT_TOP_DOWN;CUP;5;0;2147483647;0.2;0.4;0.05;600000;2147483647;true;2;1120;0.9704776960491376;0
