0;93;94;95
1;93;94;95
2;93;94;95
3;93;94;95
4;97;94;95
5;97;94;95
6;96;94;95
7;96;94;95
8;96;94;95
9;98;94;95
10;98;94;95
11;98;94;95
12;101;100;95
13;99;100;95
14;101;100;95
15;102;100;95
16;102;100;95
17;102;100;95
18;107;105;95
19;106;105;95
20;104;105;95
21;109;110;95
22;113;110;95
23;108;105;95
24;107;105;95
25;108;105;95
26;107;105;95
27;108;105;95
28;108;105;95
29;109;110;95
30;99;100;95
31;98;94;95
32;99;100;95
33;104;105;95
34;106;105;95
35;109;110;95
36;107;105;95
37;112;110;95
38;104;105;95
39;111;110;95
40;116;115;95
41;112;110;95
42;112;110;95
43;114;115;95
44;113;110;95
45;114;115;95
46;118;115;95
47;114;115;95
48;116;115;95
49;102;100;95
50;106;105;95
51;104;105;95
52;114;115;95
53;112;110;95
54;111;110;95
55;116;115;95
56;96;94;95
57;103;100;95
58;102;100;95
59;104;105;95
60;103;100;95
61;113;110;95
62;101;100;95
63;117;115;95
64;111;110;95
65;97;94;95
66;96;94;95
67;98;94;95
68;99;100;95
69;101;100;95
70;103;100;95
71;103;100;95
72;111;110;95
73;109;110;95
74;116;115;95
75;93;94;95
76;97;94;95
77;101;100;95
78;103;100;95
79;108;105;95
80;106;105;95
81;113;110;95
82;111;110;95
83;112;110;95
84;99;100;95
85;107;105;95
86;106;105;95
87;117;115;95
88;109;110;95
89;114;115;95
90;116;115;95
91;113;110;95
92;97;94;95
