0;[0, 2[;[0, 4[;*
1;[0, 2[;[0, 4[;*
2;[2, 4[;[0, 4[;*
3;[2, 4[;[0, 4[;*
4;[4, 6[;[4, 2147483648[;*
5;[4, 6[;[4, 2147483648[;*
6;[6, 2147483648[;[4, 2147483648[;*
7;[6, 2147483648[;[4, 2147483648[;*
8;[6, 2147483648[;[4, 2147483648[;*
9;[6, 2147483648[;[4, 2147483648[;*
10;[6, 2147483648[;[4, 2147483648[;*
11;[6, 2147483648[;[4, 2147483648[;*
12;[6, 2147483648[;[4, 2147483648[;*
13;[6, 2147483648[;[4, 2147483648[;*
14;[6, 2147483648[;[4, 2147483648[;*
15;[6, 2147483648[;[4, 2147483648[;*
16;[6, 2147483648[;[4, 2147483648[;*
17;[6, 2147483648[;[4, 2147483648[;*
18;[6, 2147483648[;[4, 2147483648[;*
20;[6, 2147483648[;[4, 2147483648[;*
21;[6, 2147483648[;[4, 2147483648[;*
22;[6, 2147483648[;[4, 2147483648[;*
23;[6, 2147483648[;[4, 2147483648[;*
24;[6, 2147483648[;[4, 2147483648[;*
30;[6, 2147483648[;[4, 2147483648[;*
34;[6, 2147483648[;[4, 2147483648[;*
44;[6, 2147483648[;[4, 2147483648[;*
48;[6, 2147483648[;[4, 2147483648[;*
67;[6, 2147483648[;[4, 2147483648[;*
96;[6, 2147483648[;[4, 2147483648[;*
100;[6, 2147483648[;[4, 2147483648[;*
236;[6, 2147483648[;[4, 2147483648[;*
999;[6, 2147483648[;[4, 2147483648[;*
2137;[6, 2147483648[;[4, 2147483648[;*
900000;[6, 2147483648[;[4, 2147483648[;*
2147483647;[6, 2147483648[;[4, 2147483648[;*
