1279;[1279, 2314];[1279, 3549];[1279, 2031];*
1296;[1279, 2314];[1279, 3549];[1279, 2031];*
1310;[1279, 2314];[1279, 3549];[1279, 2031];*
1314;[1279, 2314];[1279, 3549];[1279, 2031];*
1344;[1279, 2314];[1279, 3549];[1279, 2031];*
1345;[1279, 2314];[1279, 3549];[1279, 2031];*
1353;[1279, 2314];[1279, 3549];[1279, 2031];*
1383;[1279, 2314];[1279, 3549];[1279, 2031];*
1384;[1279, 2314];[1279, 3549];[1279, 2031];*
1385;[1279, 2314];[1279, 3549];[1279, 2031];*
1423;[1279, 2314];[1279, 3549];[1279, 2031];*
1431;[1279, 2314];[1279, 3549];[1279, 2031];*
1447;[1279, 2314];[1279, 3549];[1279, 2031];*
1456;[1279, 2314];[1279, 3549];[1279, 2031];*
1500;[1279, 2314];[1279, 3549];[1279, 2031];*
1518;[1279, 2314];[1279, 3549];[1279, 2031];*
1533;[1279, 2314];[1279, 3549];[1279, 2031];*
1575;[1279, 2314];[1279, 3549];[1279, 2031];*
1594;[1279, 2314];[1279, 3549];[1279, 2031];*
1619;[1279, 2314];[1279, 3549];[1279, 2031];*
1624;[1279, 2314];[1279, 3549];[1279, 2031];*
1649;[1279, 2314];[1279, 3549];[1279, 2031];*
1652;[1279, 2314];[1279, 3549];[1279, 2031];*
1662;[1279, 2314];[1279, 3549];[1279, 2031];*
1674;[1279, 2314];[1279, 3549];[1279, 2031];*
1693;[1279, 2314];[1279, 3549];[1279, 2031];*
1704;[1279, 2314];[1279, 3549];[1279, 2031];*
1726;[1279, 2314];[1279, 3549];[1279, 2031];*
1728;[1279, 2314];[1279, 3549];[1279, 2031];*
1742;[1279, 2314];[1279, 3549];[1279, 2031];*
1758;[1279, 2314];[1279, 3549];[1279, 2031];*
1761;[1279, 2314];[1279, 3549];[1279, 2031];*
1770;[1279, 2314];[1279, 3549];[1279, 2031];*
1771;[1279, 2314];[1279, 3549];[1279, 2031];*
1772;[1279, 2314];[1279, 3549];[1279, 2031];*
1774;[1279, 2314];[1279, 3549];[1279, 2031];*
1778;[1279, 2314];[1279, 3549];[1279, 2031];*
1789;[1279, 2314];[1279, 3549];[1279, 2031];*
1790;[1279, 2314];[1279, 3549];[1279, 2031];*
1795;[1279, 2314];[1279, 3549];[1279, 2031];*
1805;[1279, 2314];[1279, 3549];[1279, 2031];*
1814;[1279, 2314];[1279, 3549];[1279, 2031];*
1820;[1279, 2314];[1279, 3549];[1279, 2031];*
1827;[1279, 2314];[1279, 3549];[1279, 2031];*
1834;[1279, 2314];[1279, 3549];[1279, 2031];*
1842;[1279, 2314];[1279, 3549];[1279, 2031];*
1848;[1279, 2314];[1279, 3549];[1279, 2031];*
1850;[1279, 2314];[1279, 3549];[1279, 2031];*
1860;[1279, 2314];[1279, 3549];[1279, 2031];*
1865;[1279, 2314];[1279, 3549];[1279, 2031];*
1870;[1279, 2314];[1279, 3549];[1279, 2031];*
