1.078;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
1.127;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
1.275;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
1.39;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
1.391;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
1.431;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
1.519;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
1.529;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
1.575;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
1.644;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
1.693;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.214;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.35;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.395;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.408;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.451;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.477;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.494;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.514;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.515;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.559;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.584;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.631;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.658;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.689;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.693;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.732;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.759;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.786;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.835;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.836;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.84;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.842;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.864;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.87;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.912;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
2.975;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.003;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.009;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.028;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.029;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.042;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.046;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.056;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.061;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.077;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.091;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.099;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.109;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.111;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.134;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.144;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.149;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.151;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.212;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.22;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.229;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.247;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.254;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.256;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.285;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.322;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.339;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.362;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.371;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.394;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.396;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.398;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.399;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.421;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.425;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.447;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.46;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.461;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.473;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.496;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.505;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.535;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.542;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.547;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.561;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.562;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.569;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.582;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.584;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.586;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.591;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.602;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.615;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.619;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.633;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.636;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.637;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.639;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.644;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.663;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.674;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.677;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.678;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.679;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.68;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.691;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.694;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.707;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.715;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.716;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.727;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.734;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.735;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.742;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.744;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.75;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.752;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
3.753;[1.078, 4.292];[1.078, 6.522];[1.078, 16.188];*
