0.464;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
0.56;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
0.633;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
0.65;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
0.651;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
0.657;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
0.668;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
0.709;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
0.712;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
0.724;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.246;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.277;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.291;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.293;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.297;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.344;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.376;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.415;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.427;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.504;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.509;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.519;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.522;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.528;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.53;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.549;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.552;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.558;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.566;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.57;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.589;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.622;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.635;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.643;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.649;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.662;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.665;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.686;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.708;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.723;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.742;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.753;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.756;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.76;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.778;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.789;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.804;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.817;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.824;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.832;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.835;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.838;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.859;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.867;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.872;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.878;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.881;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.885;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.923;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.933;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.939;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.942;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
1.944;[0.464, 2.519];[0.464, 4.185];[0.464, 2.596];*
